EID_100001, Durant, Henriette, (024) 777 588 511, henriette.durant@heig-vd.ch, FEMALE, EC, Professeur
EID_100002, Marchand, Guillaume, (024) 777 681 858, guillaume.marchand@heig-vd.ch, MALE, TIN, Professeur
EID_100003, Jones, Fabienne, (024) 777 359 353, fabienne.jones@heig-vd.ch, FEMALE, TIN, Assistant
EID_100004, Clément, Marc, (024) 777 865 830, marc.clement@heig-vd.ch, MALE, HEG, Administratif
EID_100005, Durant, Faustine, (024) 777 158 715, faustine.durant@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100006, Delon, Carine, (024) 777 370 810, carine.delon@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100007, Belmondo, Henri, (024) 777 140 747, henri.belmondo@heig-vd.ch, MALE, TIC, Etudiant
EID_100008, Durant, Fabienne, (024) 777 630 416, fabienne.durant@heig-vd.ch, FEMALE, TIN, Administratif
EID_100009, De Villiers, Edgar, (024) 777 705 390, edgar.devilliers@heig-vd.ch, MALE, DEPG, Administratif
EID_100010, Smith, Guillaume, (024) 777 576 660, guillaume.smith@heig-vd.ch, MALE, TIN, Administratif
EID_100011, Bauer, Dorothé, (024) 777 342 602, dorothe.bauer@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100012, De Decker, Fabrice, (024) 777 763 169, fabrice.dedecker@heig-vd.ch, MALE, HEG, Assistant
EID_100013, Simpson, Lucien, (024) 777 753 294, lucien.simpson@heig-vd.ch, MALE, DEPG, Etudiant
EID_100014, Jones, Amélie, (024) 777 371 890, amelie.jones@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100015, Bauer, Frédéric, (024) 777 120 712, frederic.bauer@heig-vd.ch, MALE, DEPG, Assistant
EID_100016, Dupond, Frédéric, (024) 777 207 234, frederic.dupond@heig-vd.ch, MALE, TIC, Assistant
EID_100017, De Decker, Fabien, (024) 777 435 672, fabien.dedecker@heig-vd.ch, MALE, TIC, Etudiant
EID_100018, Simpson, Gilles, (024) 777 565 112, gilles.simpson@heig-vd.ch, MALE, HEG, Professeur
EID_100019, Dupont, Fabrice, (024) 777 789 359, fabrice.dupont@heig-vd.ch, MALE, EC, Assistant
EID_100020, Jones, Anne, (024) 777 506 793, anne.jones@heig-vd.ch, FEMALE, EC, Professeur
EID_100021, Clément, Emilie, (024) 777 178 552, emilie.clement@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100022, Smith, Evelyne, (024) 777 716 188, evelyne.smith@heig-vd.ch, FEMALE, TIC, Administratif
